Pair,Jaccard_Similarity
"(0, 4)",0.0546875
"(0, 8)",0.09375
"(0, 9)",0.09375
"(0, 13)",0.1484375
"(0, 18)",0.109375
"(0, 24)",0.0625
"(0, 25)",0.1015625
"(0, 26)",0.0859375
"(0, 30)",0.0390625
"(0, 34)",0.0859375
"(0, 36)",0.109375
"(0, 39)",0.0859375
"(0, 45)",0.0625
"(0, 50)",0.078125
"(0, 52)",0.0703125
"(0, 57)",0.140625
"(0, 68)",0.078125
"(0, 72)",0.0859375
"(0, 79)",0.1328125
"(0, 81)",0.1015625
"(0, 86)",0.0546875
"(0, 88)",0.125
"(0, 89)",0.125
"(0, 92)",0.078125
"(1, 98)",0.1328125
"(1, 67)",0.1015625
"(1, 35)",0.1171875
"(1, 11)",0.078125
"(1, 13)",0.078125
"(1, 79)",0.1015625
"(1, 81)",0.0625
"(1, 83)",0.0625
"(1, 20)",0.125
"(1, 86)",0.109375
"(1, 25)",0.0859375
"(2, 4)",0.125
"(2, 10)",0.0625
"(2, 12)",0.109375
"(2, 13)",0.140625
"(2, 18)",0.09375
"(2, 27)",0.125
"(2, 33)",0.1171875
"(2, 49)",0.09375
"(2, 50)",0.078125
"(2, 51)",0.0859375
"(2, 54)",0.1015625
"(2, 67)",0.109375
"(2, 68)",0.125
"(2, 70)",0.09375
"(2, 77)",0.1171875
"(2, 79)",0.1484375
"(2, 85)",0.09375
"(2, 87)",0.078125
"(2, 89)",0.1015625
"(2, 96)",0.140625
"(2, 97)",0.0859375
"(3, 4)",0.1015625
"(3, 5)",0.0859375
"(3, 9)",0.0625
"(3, 13)",0.0859375
"(3, 14)",0.078125
"(3, 19)",0.0625
"(3, 27)",0.0859375
"(3, 28)",0.09375
"(3, 29)",0.09375
"(3, 36)",0.1171875
"(3, 39)",0.0390625
"(3, 41)",0.078125
"(3, 42)",0.125
"(3, 65)",0.1171875
"(3, 67)",0.0859375
"(3, 73)",0.109375
"(3, 74)",0.1328125
"(3, 82)",0.140625
"(3, 87)",0.1796875
"(3, 95)",0.140625
"(3, 96)",0.125
"(3, 97)",0.09375
"(4, 8)",0.1171875
"(4, 10)",0.0625
"(4, 12)",0.0625
"(4, 13)",0.1328125
"(4, 18)",0.09375
"(4, 24)",0.1015625
"(4, 25)",0.0859375
"(4, 27)",0.09375
"(4, 30)",0.09375
"(4, 33)",0.1328125
"(4, 45)",0.125
"(4, 49)",0.15625
"(4, 56)",0.0625
"(4, 57)",0.078125
"(4, 67)",0.09375
"(4, 68)",0.078125
"(4, 77)",0.0625
"(4, 79)",0.15625
"(4, 86)",0.125
"(4, 88)",0.046875
"(4, 89)",0.09375
"(4, 94)",0.046875
"(4, 95)",0.09375
"(5, 96)",0.0546875
"(5, 65)",0.0546875
"(5, 97)",0.0859375
"(5, 36)",0.140625
"(5, 67)",0.0546875
"(5, 39)",0.046875
"(5, 9)",0.0546875
"(5, 42)",0.0625
"(5, 73)",0.03125
"(5, 13)",0.125
"(5, 14)",0.078125
"(5, 82)",0.1171875
"(5, 52)",0.0625
"(5, 21)",0.1015625
"(5, 27)",0.078125
"(5, 28)",0.0625
"(6, 65)",0.1328125
"(6, 66)",0.09375
"(6, 69)",0.1015625
"(6, 39)",0.0859375
"(6, 79)",0.0859375
"(6, 49)",0.15625
"(6, 26)",0.1171875
"(6, 28)",0.0625
"(6, 31)",0.0703125
"(7, 34)",0.0703125
"(7, 74)",0.046875
"(7, 28)",0.0703125
"(7, 14)",0.125
"(7, 47)",0.0625
"(7, 19)",0.0859375
"(7, 30)",0.0625
"(7, 95)",0.0859375
"(7, 23)",0.0546875
"(7, 88)",0.0625
"(7, 59)",0.0546875
"(7, 60)",0.0390625
"(7, 94)",0.109375
"(7, 31)",0.1015625
"(8, 33)",0.171875
"(8, 72)",0.09375
"(8, 44)",0.09375
"(8, 13)",0.109375
"(8, 45)",0.078125
"(8, 79)",0.1015625
"(8, 77)",0.1171875
"(8, 81)",0.15625
"(8, 52)",0.09375
"(8, 24)",0.1015625
"(8, 94)",0.0625
"(8, 62)",0.1171875
"(9, 13)",0.15625
"(9, 14)",0.1171875
"(9, 17)",0.15625
"(9, 23)",0.0703125
"(9, 24)",0.0625
"(9, 27)",0.09375
"(9, 28)",0.0546875
"(9, 36)",0.09375
"(9, 39)",0.125
"(9, 42)",0.1328125
"(9, 43)",0.09375
"(9, 64)",0.0625
"(9, 65)",0.0703125
"(9, 67)",0.078125
"(9, 68)",0.1171875
"(9, 73)",0.1015625
"(9, 79)",0.1328125
"(9, 82)",0.0546875
"(9, 93)",0.1328125
"(9, 96)",0.0625
"(9, 97)",0.0546875
"(10, 97)",0.0625
"(10, 33)",0.0625
"(10, 67)",0.0703125
"(10, 41)",0.0625
"(10, 12)",0.0625
"(10, 77)",0.046875
"(10, 78)",0.0703125
"(10, 79)",0.109375
"(10, 49)",0.0625
"(10, 22)",0.0390625
"(10, 89)",0.0625
"(10, 27)",0.0859375
"(11, 66)",0.0703125
"(11, 34)",0.0546875
"(11, 13)",0.0859375
"(11, 14)",0.1015625
"(11, 81)",0.1015625
"(11, 85)",0.0859375
"(11, 25)",0.09375
"(11, 28)",0.1015625
"(11, 29)",0.1171875
"(12, 17)",0.1328125
"(12, 24)",0.0859375
"(12, 27)",0.109375
"(12, 33)",0.078125
"(12, 39)",0.1015625
"(12, 43)",0.0703125
"(12, 49)",0.078125
"(12, 61)",0.03125
"(12, 65)",0.109375
"(12, 67)",0.078125
"(12, 72)",0.109375
"(12, 73)",0.1796875
"(12, 77)",0.0703125
"(12, 79)",0.09375
"(12, 89)",0.078125
"(13, 14)",0.1015625
"(13, 17)",0.171875
"(13, 18)",0.1796875
"(13, 20)",0.140625
"(13, 23)",0.1015625
"(13, 24)",0.1875
"(13, 25)",0.203125
"(13, 27)",0.1484375
"(13, 28)",0.0703125
"(13, 29)",0.0703125
"(13, 30)",0.0546875
"(13, 35)",0.15625
"(13, 36)",0.1484375
"(13, 37)",0.078125
"(13, 39)",0.1484375
"(13, 42)",0.109375
"(13, 43)",0.1171875
"(13, 45)",0.1171875
"(13, 50)",0.09375
"(13, 52)",0.109375
"(13, 53)",0.1484375
"(13, 54)",0.171875
"(13, 57)",0.1171875
"(13, 58)",0.1171875
"(13, 65)",0.1015625
"(13, 66)",0.1328125
"(13, 67)",0.125
"(13, 68)",0.1875
"(13, 72)",0.15625
"(13, 73)",0.140625
"(13, 77)",0.078125
"(13, 79)",0.1796875
"(13, 81)",0.1328125
"(13, 82)",0.109375
"(13, 83)",0.078125
"(13, 84)",0.046875
"(13, 85)",0.0546875
"(13, 86)",0.1015625
"(13, 88)",0.0859375
"(13, 89)",0.1015625
"(13, 96)",0.09375
"(13, 97)",0.0546875
"(14, 16)",0.0859375
"(14, 21)",0.0625
